,song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2873,Hunt the Buffalo,Cobalt,1HRwKWGgkRdWPqpVW68FoA,22,0.264,0.946,2,-5.152,1,0.0697,0.000111,0.0622,0.0631,0.083,146.037,audio_features,1HRwKWGgkRdWPqpVW68FoA,spotify:track:1HRwKWGgkRdWPqpVW68FoA,https://api.spotify.com/v1/tracks/1HRwKWGgkRdWPqpVW68FoA,https://api.spotify.com/v1/audio-analysis/1HRwKWGgkRdWPqpVW68FoA,528333,4
2874,Ruiner,Cobalt,4NV2MFAx3eof8viPvuVho3,14,0.183,0.982,3,-4.009,1,0.131,7.76e-06,0.245,0.351,0.144,82.533,audio_features,4NV2MFAx3eof8viPvuVho3,spotify:track:4NV2MFAx3eof8viPvuVho3,https://api.spotify.com/v1/tracks/4NV2MFAx3eof8viPvuVho3,https://api.spotify.com/v1/audio-analysis/4NV2MFAx3eof8viPvuVho3,392680,4
2875,Beast Whip,Cobalt,2XpFzsEl1txS207hNQBQZI,12,0.261,0.967,7,-4.571,1,0.0883,8.46e-05,0.548,0.558,0.0466,133.11,audio_features,2XpFzsEl1txS207hNQBQZI,spotify:track:2XpFzsEl1txS207hNQBQZI,https://api.spotify.com/v1/tracks/2XpFzsEl1txS207hNQBQZI,https://api.spotify.com/v1/audio-analysis/2XpFzsEl1txS207hNQBQZI,553573,4
2876,Cold Breaker,Cobalt,6ycAB8zVO0krJJ6qngbAWy,9,0.438,0.984,8,-4.791,1,0.125,7.02e-06,0.194,0.0948,0.0987,134.949,audio_features,6ycAB8zVO0krJJ6qngbAWy,spotify:track:6ycAB8zVO0krJJ6qngbAWy,https://api.spotify.com/v1/tracks/6ycAB8zVO0krJJ6qngbAWy,https://api.spotify.com/v1/audio-analysis/6ycAB8zVO0krJJ6qngbAWy,404600,4
2877,Final Will,Cobalt,4l2ofEVaeGd8Udvz6pCfmT,8,0.327,0.947,2,-5.316,1,0.0784,9.56e-05,0.253,0.232,0.0617,106.001,audio_features,4l2ofEVaeGd8Udvz6pCfmT,spotify:track:4l2ofEVaeGd8Udvz6pCfmT,https://api.spotify.com/v1/tracks/4l2ofEVaeGd8Udvz6pCfmT,https://api.spotify.com/v1/audio-analysis/4l2ofEVaeGd8Udvz6pCfmT,676333,4
2878,Slow Forever,Cobalt,0aHVwCy04Msmj3wU6fD7q1,10,0.296,0.915,2,-5.469,1,0.0613,1.76e-05,0.629,0.228,0.299,117.289,audio_features,0aHVwCy04Msmj3wU6fD7q1,spotify:track:0aHVwCy04Msmj3wU6fD7q1,https://api.spotify.com/v1/tracks/0aHVwCy04Msmj3wU6fD7q1,https://api.spotify.com/v1/audio-analysis/0aHVwCy04Msmj3wU6fD7q1,575507,5
2879,Slowly We Rot,Obituary,5F6ZrWLngDICyjazxM1gNq,48,0.275,0.947,0,-6.696,1,0.0835,1.08e-05,0.00968,0.124,0.0835,107.1,audio_features,5F6ZrWLngDICyjazxM1gNq,spotify:track:5F6ZrWLngDICyjazxM1gNq,https://api.spotify.com/v1/tracks/5F6ZrWLngDICyjazxM1gNq,https://api.spotify.com/v1/audio-analysis/5F6ZrWLngDICyjazxM1gNq,218427,3
2880,Come Out and Play,The Offspring,5JJDu0Z5DKe7mR31MGksSg,76,0.519,0.77,7,-8.788,1,0.0809,0.0675,3.48e-06,0.0762,0.921,158.29,audio_features,5JJDu0Z5DKe7mR31MGksSg,spotify:track:5JJDu0Z5DKe7mR31MGksSg,https://api.spotify.com/v1/tracks/5JJDu0Z5DKe7mR31MGksSg,https://api.spotify.com/v1/audio-analysis/5JJDu0Z5DKe7mR31MGksSg,197800,4
2881,Self Esteem,The Offspring,6qpN7PrkVsP3N3xO7WlCaw,0,0.488,0.862,0,-7.595,1,0.0476,0.0204,0.0,0.359,0.706,104.56,audio_features,6qpN7PrkVsP3N3xO7WlCaw,spotify:track:6qpN7PrkVsP3N3xO7WlCaw,https://api.spotify.com/v1/tracks/6qpN7PrkVsP3N3xO7WlCaw,https://api.spotify.com/v1/audio-analysis/6qpN7PrkVsP3N3xO7WlCaw,257827,4
2882,Scar Trek / Parasite God,Mortiis,3f9PuAbfQimWKrys4rPybJ,16,0.616,0.707,7,-8.953,1,0.0376,0.00133,0.000113,0.38,0.597,119.98,audio_features,3f9PuAbfQimWKrys4rPybJ,spotify:track:3f9PuAbfQimWKrys4rPybJ,https://api.spotify.com/v1/tracks/3f9PuAbfQimWKrys4rPybJ,https://api.spotify.com/v1/audio-analysis/3f9PuAbfQimWKrys4rPybJ,362733,4
